2020-2021 NBA Stats | Player Box Score & Advanced Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Kyle Lowry,Tor,G,35.1,44,34.7,72.3,21.3,16.5,152,0.882,252,0.488,308,0.383,0.536,0.585,16.7,5.4,8.6,7.3,31.4,1,0.27,2.82,10,115.3,107.5
,Norman Powell,Por,G,27.93,18,33.7,70.2,21.1,11.1,73,0.863,138,0.522,95,0.326,0.509,0.566,16.7,3.1,4.9,2,8.8,1.5,0.39,1.83,5.6,110.6,113.3
,Mike Conley,Uta,G,33.55,49,29.8,62,23.1,12.6,136,0.853,294,0.49,329,0.407,0.554,0.59,16.4,3.4,6.1,6,30.2,1.37,0.18,2,9.3,121.9,104.8
,Chris Paul,Pho,G,35.98,61,31.8,66.2,22.3,13.9,159,0.931,534,0.539,231,0.385,0.551,0.593,16.2,4.6,8.2,8.7,39.7,1.44,0.21,2.21,10.9,122.8,105.1
,Harrison Barnes,Sac,F,28.91,58,36.3,75.5,17.2,11.1,235,0.83,386,0.567,256,0.391,0.575,0.626,16.1,6.6,10.2,3.5,13,0.74,0.19,1.6,7.9,122.5,119
,De'Andre Hunter,Atl,F-G,23.41,20,31.2,65.1,19.7,9.5,75,0.867,136,0.596,87,0.356,0.572,0.625,16,5.1,9,2.1,10.3,0.9,0.5,1.35,7.1,121.4,107.2
,LaMelo Ball,Cha,G,19.69,41,28.6,59.7,25.5,16.5,123,0.789,310,0.503,216,0.375,0.528,0.562,15.9,5.9,11.2,6.1,34,1.59,0.34,2.8,11.6,110.5,103.5
,Gary Trent Jr.,Tor,G-F,22.28,14,31.2,65,22.4,4.4,16,0.813,110,0.464,99,0.364,0.502,0.516,15.9,3.4,6.1,1.4,6.9,1.21,0.21,0.71,5.4,101.1,112.3
,Bojan Bogdanovic,Uta,F,32.03,62,30.5,63.6,21.6,10.1,214,0.874,363,0.463,394,0.381,0.519,0.572,15.7,3.8,6.6,1.9,9,0.6,0.06,1.55,6.3,112,107.3
,Dejounte Murray,San,G,24.61,58,31.9,66.5,23.4,10,118,0.805,661,0.484,179,0.33,0.486,0.511,15.7,7.1,11.9,5.3,25.7,1.59,0.1,1.71,10.5,106.1,105.3
,OG Anunoby,Tor,F,23.78,41,33.1,69,18.9,12.1,97,0.773,236,0.581,244,0.398,0.589,0.612,15.6,5.6,9.3,2.1,9.8,1.56,0.68,1.76,6.9,113.7,107.1
,Tim Hardaway Jr.,Dal,G-F,29.12,60,28.2,58.7,23,6.3,140,0.793,321,0.505,441,0.376,0.539,0.566,15.6,3.4,6.5,1.7,8.9,0.42,0.15,0.92,6.4,111.8,112.2
,Terrence Ross,Orl,G-F,30.23,46,29.3,61,24.1,9.7,138,0.87,352,0.469,264,0.337,0.485,0.53,15.6,3.4,6.1,2.4,13.2,1.02,0.46,1.59,6.9,103.1,110.5
,Dennis Schroder,Lal,G,27.62,58,32.2,67,23,15.7,237,0.844,532,0.476,195,0.344,0.486,0.546,15.6,3.5,6,5.8,26.9,1.16,0.22,2.67,8.5,107.7,102.3
,T.J. Warren,Ind,F,27.65,4,29.4,61.1,21.6,6.7,10,0.8,44,0.614,7,0,0.529,0.56,15.5,3.5,6.5,1.3,6.6,0.5,0,1,5.6,107.1,104.4
,Clint Capela,Atl,C,26.95,55,30.4,63.4,20.1,8.4,196,0.577,622,0.59,0,0,0.59,0.598,15.4,14.6,26.3,0.8,4.4,0.71,2.13,1.18,7.4,123.7,103.7
,Kelly Oubre Jr.,Gol,F-G,25.39,55,30.7,63.9,22,8,177,0.695,439,0.519,285,0.316,0.501,0.529,15.4,6,10.4,1.3,6.5,1.04,0.76,1.27,6.4,103.3,107.4
,Derrick White,San,G,26.83,36,29.5,61.6,22.5,8.2,114,0.851,210,0.486,243,0.346,0.503,0.55,15.4,3,5.3,3.5,17.5,0.72,1,1.25,7.4,110.6,107.6
,Jaren Jackson Jr.,Mem,F-C,21.62,4,22,45.7,29.8,4.9,20,0.75,29,0.586,21,0.19,0.46,0.519,15.3,5.8,13.9,1.3,8.8,0.25,1.75,0.75,8.9,108.4,91.6
,Bogdan Bogdanovic,Atl,G,28.69,37,29,60.4,21.3,9.2,37,0.892,195,0.508,265,0.419,0.577,0.592,15.2,3.7,7.1,3.2,17.4,0.97,0.24,1.3,7.8,116.6,108.5
,Kevin Porter Jr.,Hou,G-F,20.98,22,31.8,66.2,24.8,19,71,0.761,168,0.506,129,0.287,0.473,0.51,15.2,3.8,6.4,6.2,30.6,0.82,0.32,3.5,8.9,97.7,111
,Gary Trent Jr.,Por,G-F,22.28,41,30.8,64.1,20,5.3,75,0.773,219,0.438,305,0.397,0.53,0.55,15,2.2,3.9,1.4,6.8,0.9,0.15,0.76,4.7,112.3,116.9
,Tyler Herro,Mia,G,21.27,48,30.7,63.9,23.5,11.9,110,0.809,365,0.488,262,0.344,0.499,0.529,14.9,4.8,8.9,3.4,17.9,0.71,0.35,1.9,8.1,101.3,109.7
,Deandre Ayton,Pho,C,22.77,62,30.7,64,18.8,11.9,159,0.761,620,0.634,20,0.2,0.623,0.647,14.8,10.7,19.7,1.4,6.9,0.58,1.1,1.55,7.9,125.7,101.4
,Coby White,Chi,G,21.2,59,30.9,64.3,22.5,14,127,0.913,390,0.482,366,0.344,0.499,0.536,14.7,4.1,7.4,4.6,21.4,0.54,0.2,2.24,8.4,104.9,108.7
,Aaron Gordon,Orl,F,25.62,25,29.4,61.3,23.9,16.5,105,0.629,181,0.475,112,0.375,0.509,0.537,14.6,6.6,11.8,4.2,22.8,0.64,0.8,2.68,10.1,102.9,109.5
,Devonte' Graham,Cha,G,26.18,50,30.2,62.8,21.5,10.5,136,0.816,179,0.374,433,0.374,0.507,0.544,14.6,2.7,4.9,5.4,26.4,0.94,0.12,1.58,7.9,113.5,113.1
,Ben Simmons,Phi,G-F,24.77,50,32.7,68.1,20.8,20.4,267,0.61,504,0.556,10,0.3,0.554,0.58,14.6,7.5,12.6,7,31.6,1.64,0.66,3.24,11.2,112.1,99.8
,Joe Harris,Bro,G-F,29.64,62,30.9,64.4,16.3,7.1,59,0.78,236,0.564,405,0.481,0.664,0.672,14.5,3.6,6.4,1.9,8.6,0.69,0.21,0.82,6,128.1,111.8
,Rudy Gobert,Uta,C,28.84,61,31,64.6,16.9,13.2,331,0.619,495,0.681,3,0,0.677,0.683,14.4,13.4,22.9,1.3,6.1,0.54,2.84,1.61,8.1,130.6,98.8
,Thomas Bryant,Was,C-F,23.75,10,27.1,56.4,17.3,9.8,24,0.667,70,0.714,21,0.429,0.698,0.704,14.3,6.1,11.9,1.5,8.4,0.4,0.8,1.1,7.5,131,104.8
,Richaun Holmes,Sac,F,27.54,53,29.6,61.7,17.2,10.2,150,0.793,486,0.652,10,0.2,0.645,0.675,14.3,8.7,16.3,1.6,7.7,0.64,1.6,1.21,7.9,131.1,108.1
,Lauri Markkanen,Chi,F-C,23.94,42,26.7,55.6,20.5,8.1,81,0.84,199,0.593,252,0.393,0.591,0.617,14.3,5.3,11,0.9,5,0.45,0.29,1.02,6.1,115.3,110.6
,Lonzo Ball,Nor,G,23.51,48,31.4,65.3,20,14.3,50,0.78,205,0.498,382,0.382,0.547,0.559,14.2,4.4,7.7,5.8,25.8,1.46,0.58,2.13,9.1,111.9,110
